job_id,job_title,job_tags,company_address,company_name,company_size,min_salary,max_salary,experiences,industries,languages,frameworks
1394422,Chuyên Viên Quản Trị Vận Hành Hệ Thống Hạ Tầng Công Nghệ Thông Tin,,Hà Nội,Ngân hàng Hợp tác xã Việt Nam,1000+ nhân viên,,,,,,
1400446,Web Developer,,Hồ Chí Minh,CÔNG TY TNHH THƯ VIỆN PHÁP LUẬT,100-499 nhân viên,,,,Web-Full,"JS,C#","AngularJS,ReactJS,.NET Framework"
1398031,Lập Trình Viên Java (Springboot) - Thu Nhập Upto 40 Triệu/Tháng - Từ 3 Năm Kinh Nghiệm,"Java, Spring Boot, ",Hà Nội,Công ty cổ phần Công nghệ thông tin Phú Minh,25-99 nhân viên,25,40,3,Web-Back,Java,SpringBoot
1401180,Chuyên Viên Phát Triển Ứng Dụng CNNH (Java Dev),,Hà Nội,Ngân Hàng TMCP An Bình,5000+ nhân viên,,,,Software,"Java,C#",
1399001,Business Analyst ( BA ) - Phân Tích Nghiệp Vụ,,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ SOPEN VIỆT NAM,25-99 nhân viên,10,20,1,BA,,
1392844,Japanese Operator,,Hồ Chí Minh,CÔNG TY TNHH SCIFATE VN,25-99 nhân viên,15,30,,,,
1392404,Senior Database Administrator (Salary 40-55 Million ) 3 Years Experience,,Hồ Chí Minh,Công ty Cổ phần viễn thông FPT,5000+ nhân viên,40,55,3,DE,,
1401047,Giảng Viên Công Nghệ Thông Tin_PTCD BRVT,,Bà Rịa-Vũng Tàu,Phân hiệu Trường Đại học FPT tại thành phố Hồ Chí Minh,500-1000 nhân viên,,,,,,
1386932,"Chuyên Viên Quản Lý Chất Lượng Thu Nhập Lên Đến 20 Triệu, Nghỉ Thứ 7 Chủ Nhật",,Hà Nội,Trung tâm Dịch vụ số MobiFone - Chi nhánh Tổng Công ty Viễn Thông Mobifone,100-499 nhân viên,,20,,QA,,
1010009,Kỹ Sư Triển Khai Hệ Thống Máy Chủ Và Lưu Trữ,,Hà Nội,Công ty Cổ phần Phúc Thành Việt Nam,25-99 nhân viên,,25,,,,
1398626,SEO Specialist,"SEO, Digital Marketing, Phân Tích Website, ",Hồ Chí Minh,CÔNG TY TNHH TM DV GTV SEO,25-99 nhân viên,13,25,,,,
1402338,Android Developer ( Thu Nhập Từ 15 Triệu - 25 Triệu ),,Hà Nội,Công ty cổ phần phần mềm ITSOL Holding,100-499 nhân viên,15,25,2,Mobile,Java,"SpringBoot,Hibernate"
1391530,Senior Business Analyst (Tech Department),,Hồ Chí Minh,CÔNG TY TNHH DIGI-TEXX,1000+ nhân viên,,,5,BA,,
1390658,Kỹ Sư SE - Kỹ Sư IT Vận Hành,,Hải Phòng,Công ty TNHH công nghệ Amtran Việt Nam,3000+ nhân viên,,,1,Software,"C#,VB,Python",
1394435,"Chuyên Viên Quản Trị, Vận Hành, Phân Tích Nghiệp Vụ Ngân Hàng Lõi Và Dịch Vụ Ngân Hàng Số",,Hà Nội,Ngân hàng Hợp tác xã Việt Nam,1000+ nhân viên,,,,,,
802215,Nhân Viên Kinh Doanh - Sẵn Data Khách Hàng,"Kỹ năng giao tiếp, Kỹ năng phân tích kinh doanh, Kỹ năng bán hàng, Kỹ năng báo cáo, Tư vấn",Hồ Chí Minh,Mona Media,100-499 nhân viên,15,25,,,,
833586,"Nhân Viên Kinh Doanh/ Sale/ Phân Phối Linh Kiện - Phụ Kiện Máy Tính, Ưu Tiên Nữ",,Hồ Chí Minh,Công Ty Cổ Phần Tin Học Mai Hoàng,25-99 nhân viên,15,50,,,,
1388253,Kỹ Sư Triển Khai Hệ Thống Mạng Và Bảo Mật,,Hà Nội,Công ty Cổ phần Phúc Thành Việt Nam,25-99 nhân viên,,,1,System,,
1387771,Thiết Kế Đồ Họa (Tuyển Nam) Tại Thủ Đức [Thu Nhập 15 Triệu/ Tháng + Thưởng...] Được Đào Tạo Bài Bản/ Đi Làm Ngay,,Hồ Chí Minh,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH CENTRE FOR CERTIFIED PROFESSIONALS,25-99 nhân viên,8,15,,,,
862883,Nhân Viên Marketing Website - Facebook,"Kỹ năng giao tiếp, Kỹ năng lắng nghe, Kỹ năng Thuyết phục, Kỹ năng đàm phán",Hồ Chí Minh,CÔNG TY CỔ PHẦN QUẢN TRỊ THÔNG MINH ASIA,25-99 nhân viên,,,,,,
156406,Data Engineer (Big Data),"Agile, ",Hà Nội,Khối Công nghệ thông tin - Viettel Telecom,100-499 nhân viên,,,,DE,"Python,Scala,Java",
903791,Lập Trình Viên (.Net/JavaScript/NodeJS/ReactJS),".NET, Javascript, .net core, ReactJS, NodeJS",Hà Nội,Công ty Cổ phần Giải pháp Phần mềm Doanh nghiệp,100-499 nhân viên,10,25,,Web-Full,"C#,JS","ReactJS,NodeJS,.NET Framework"
1251403,Senior Nodejs Developer (Hybrid) - Mức Lương Đến 36M,,Hà Nội,CÔNG TY TNHH VAREAL VIỆT NAM,25-99 nhân viên,30,36,4,Web-Bacj,JS,NodeJS
1390115,Lập Trình Viên Backend Thu Nhập Từ 20 - 30 Triệu Yêu Cầu Kinh Nghiệm 3 Năm,,Hà Nội,Công ty TNHH hearme,1-9 nhân viên,20,30,3,Web-Back,Python,"Django,Flask"
1383698,Nhân Viên Quản Trị Website Tại Hoàng Mai - Hà Nội [ Thu Nhập 15 Triệu/ Tháng + Thưởng...] Đi Làm Ngay,"HTML, CSS, JavaScript, ReactJS, Viết Bài SEO Content, SEO Website, ",Hà Nội,Công ty cổ phần điện tử 179,10-24 nhân viên,13,15,,,,
1389677,"Chuyên Viên Kinh Doanh Phần Mềm Bán Hàng [Hà Nội/ Hồ Chí Minh] - Thu Nhập 15-20Tr+++, Nhiều Đãi Ngộ Hấp Dẫn",,"Hà Nội, Hồ Chí Minh",Công ty cổ phần Công nghệ Sapo,1000+ nhân viên,10,20,,,,
1388012,Chuyên Viên Kỹ Thuật Mạng,"CCNA, Bảo Mật Thông Tin, Cisco, Vận Hành Hệ Thống, firewall, CCNA, VPN, firewall, Router",Hà Nội,CÔNG TY TNHH CÔNG NGHỆ VIỆT THÁI DƯƠNG,25-99 nhân viên,15,20,1,System,,
1386209,Nhân Viên IT Hệ Thống - Đi Làm Ngay,,Hà Nội,CÔNG TY CỔ PHẦN ĐẦU TƯ GIÁO DỤC BAN MAI,500-1000 nhân viên,10,13,,,,
1402510,Senior Fullstack Developer,"NodeJS, Python, ReactJS, Golang",Hà Nội,CÔNG TY CỔ PHẦN DEEPEYES,10-24 nhân viên,,,4,Web-Full,"JS,Python,Go","ReactJS,NodeJS"
1402547,Chăm Sóc Khách Hàng,"Sale, Bán Hàng, ",Hà Nội,CÔNG TY TNHH TM & DV QUỐC TẾ HOÀNG THỊNH PHÁT,25-99 nhân viên,15,25,,,,
1401995,Frontend Developer (Angular),"AngularJS, Javascript, TypeScript, ",Hà Nội,Công Ty Cổ Phần GoGroup,25-99 nhân viên,15,25,4,Web-Front,JS,AngularJS
1335270,Chuyên Viên Kiểm Thử Phần Mềm,,Hà Nội,CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM,10000+ nhân viên,15,25,3,Tester,,
971274,"Junior IOS Developer (Swift, Objective C)","Javascript, Objective-C, OOP, Swift, UIKit",Hà Nội,CÔNG TY CỔ PHẦN GIAO HÀNG TIẾT KIỆM,10000+ nhân viên,12,45,1,Mobile,"JS,Object-C,Swift",
1402367,Fresher Sale IT,"Tiếng Nhật, Sales, ",Hà Nội,TNHH Pirago Việt Nam,25-99 nhân viên,,15,,,,
1387002,Technical Support Engineer (Attractive Salary),,Hà Nội,Tek Experts Vietnam,500-1000 nhân viên,,,,Helpdesk,,
1402650,IT Operations,,Hồ Chí Minh,CÔNG TY CỔ PHẦN KREDIVO VIỆT NAM,500-1000 nhân viên,20,30,,,,
1402032,Dotnet Developer (Junior),".NET, ",Hà Nội,2NF Software,100-499 nhân viên,15,25,2,Web-Back,C#,.NET Framework
1387005,CRM Tech Support Engineer - Attractive Salary,,Hà Nội,Tek Experts Vietnam,500-1000 nhân viên,,,,BA,,
1225006,Data Engineer,"CSS, Java, MongoDB, Database, .NET, SQL",Hà Nội,Tek Experts Vietnam,500-1000 nhân viên,,40,2,DE,,
1402800,IT Engineer (IT Help Desk/IT Support),,"Hồ Chí Minh, Bình Dương",Công ty TNHH Tài Năng,25-99 nhân viên,13,15,,Helpdesk,,
1401987,IT Support / Helpdesk (Chỉ Tuyển Nam),,Hà Nội,Công ty TNHH Minh Giang,100-499 nhân viên,8,12,2,Helpdesk,,
1402636,CEO Assistant,"Business Development, Corporate Communications, internal communication, Advanced English",Hà Nội,BSS Group,100-499 nhân viên,20,30,,,,
1402872,Business Analyst,,Hà Nội,Nano Technologies,25-99 nhân viên,,,3,BA,,
1138344,Nhân Viên Trực Onsite - Giám Sát Hệ Thống Camera,,Hà Nội,CÔNG TY CỔ PHẦN A.R.T,25-99 nhân viên,7,12,,,,
1401726,Thực Tập Sinh Hành Chính Nhân Sự,,Hà Nội,Capi Creative Design,25-99 nhân viên,,,,,,
1401743,Marketing Intern,,Hà Nội,Capi Creative Design,25-99 nhân viên,,,,,,
1355621,Tester (Middle/Senior),,Hà Nội,Công ty TNHH Lisod Việt Nam,25-99 nhân viên,,,3,Tester,,
1402523,Lập Trình Viên Python /Django,"Django, Python, Lập Trình, ",Hồ Chí Minh,Công ty TNHH AEGONA,25-99 nhân viên,,,1,Web-Back,"Python,PHP,CPP,JS","Flask,Django,Tornado"
1215497,Customer Support (Remote/Part-Time),,Toàn Quốc,Công ty CP Công nghệ Thông tin Qikify,25-99 nhân viên,,,,Helpdesk,,
1346012,Business Analyst,,Hà Nội,CÔNG TY CỔ PHẦN TẬP ĐOÀN IVI,100-499 nhân viên,10,14,2,BA,,
1398347,Frontend Developer,"CSS, HTML, Javascript, VueJS, React",Hồ Chí Minh,CÔNG TY TNHH ADROIT TECHNOLOGIES,10-24 nhân viên,,,,Web-Front,JS,VueJS
1402550,2D Game Artist (Store-Listing),,Hà Nội,SonatGame Studio,25-99 nhân viên,,15,,,,
